Text,Biased
breaking israel pm netanyahu entered selfquarantine until next wednesday,non-antisemitic
rt anniebwansford i love visiting new countries and on the list now is israel after a few hours i love tel aviv httpstcolckjxpmvan,non-antisemitic
"beautiful to see christians and jews come together to help the impoverished in israel

httpstcogmxrhvqn",non-antisemitic
ar a massive number of people in bani israel were doing bukwas allah did it to shut their mouth,non-antisemitic
rachael_swindon knightrgb i agree however there are many people who say it is antisemetic to challenge the israeli government at allits a word used to often now by people who don�t understand it it�s antisemetic to challenge the existence of the jewish community and it�s people not a governments action,non-antisemitic
gerrysimpsonhrw hrw israel isn�t occupying gaza and there�s no blockade on medical supplies nor is israel responsible for hamas� decision to prioritize terror tunnels and rockets over the health care system in gaza,non-antisemitic
this is so stupid that israel is also almost out of toilet paper in our stores bc we make it here not in china people are so f dumb,non-antisemitic
protection is very needed by all in these times especially the children of israel satan is lurking at an all time high for the righteous especially because most of the world has turned to a reprobated mind which means their souls are already his to say the very least,non-antisemitic
" israel gym  

 latias 

gym  don quixote 
city  ramat gan 
team  
time  xx


expassgym
pokemongo",non-antisemitic
"breaking an israeli mother is taking cover with her son as at least  rockets were fired at southern israel right now gaza 

please pray  httpstcoxriugudhm",non-antisemitic
"iran lied to america and the west

iran funds terror against america and israel

why did obama and biden send them  billion in cash

did they get anything in return

why is john kerry allowed to secretly negotiate in defiance of the logan act

investigate these ties to iran",non-antisemitic
ive never been more ashamed to say i ever supported israel,non-antisemitic
mrbesseder bds_australia hey hey bibi win and viva bib am israel hai,non-antisemitic
regretjap romanticdesert bowlclogger diaspora boy vs israel man httpstcowkgifxmng,non-antisemitic
report obama thwarted israeli plan to kill soleimani in  by leaking details to iran  breaking israel news | latest news biblical perspective httpstcovbevqhkrhy,non-antisemitic
from india to hungary to the us    israel finds comfort with the most repressive and totalitarian regimes in the world its what it is,non-antisemitic
"israel starts the new year by demolishing a palestinian house in jerusalem this morning

happynew palestine httpstcomvzsmkbq",non-antisemitic
israel has played a key role in us aggression towards iran httpstcojscatku congress nyc texas florida california london paris munich madrid canada ohio kentucky iowa tennessee arazona nevada iran iraq,non-antisemitic
rt marie_kate antisemitism election row was stoked by israel labour report says httpstcomruswvgdq via telegraph,non-antisemitic
"mutedlavender isabelle
israel
really makes  you think",non-antisemitic
"breaking

israel strikes terror targets in the gaza strip as a response to rockets fired this past week at civilian areas 

freegazafromhamas httpstcomsnibtfmqb",non-antisemitic
"ipitydafool ggreenwald israel funds and arms hamas

zionist coward",antisemitic
"the boycott movement bds against israel is so obviously rooted in antisemitism 

it is telling that nations such as germany and austria  who know exactly what antisemitic boycotts look like  wont tolerate it at all 

they know what it is and where it leads",non-antisemitic
istanbultelaviv so israel is expected to allow the shipment of aid to palestinian authorities what should we understand from it there is no official public explanation from both states yet i have no trust that this could work out good for palestinians in any way,non-antisemitic
you dont get to label anyone critical of israel and the weaponisation of antisemitism as a crank and label the evidenceless claims of former guido employees as something to be taken seriously and then be angry rlb took the only stance that wouldnt lead to mass condemnation,non-antisemitic
barghouti saving our own asses more important than boycotting israel  httpstcosucfwjukwj via mideastbeasties,non-antisemitic
"netanyahu makes special request to prime minister narendra modi to help israel fight coronavirus pandemic india lifts ban on export of pharmaceuticals

httpstcorakgabin",non-antisemitic
it�s telling and crazy if you stand back to see pronetanyahu media in israel warn a us president so far slavishly supportive of their agenda that he risks his us evangelical support by delaying acceptance of israeli annexation of a chunk of the west bank httpstcommksdkj,non-antisemitic
robertcp bilbalbag criticising the israel gov is not as so know one should check themselves for these cranks abuse against a jewish person is as  criticising zionism is not i get what you mean tho,non-antisemitic
from sheba hospital in israel which is handling coronavirus patientsnational strategy was containment mitigation and increasing capacity for coronavirus patients and develop a strategy to separate corona patients from other patients heavily dependent on diagnostics,non-antisemitic
god told me to eat like israel,non-antisemitic
ilsestosanso abdullahzone dannydanon in the s as part of an ongoing effort to destroy israel and israels neighbours wish for the military occupation to cease then they know they have one option and thats to demonstrate incontrovertibly that they have given up violence against israel forever,non-antisemitic
 it was after that washington post report of course that we learned from abc and the times of israel that in fact trumps team did recognize the growing pandemic threat�in november �its just that it did nothing about it nor chinas pandemicoriented trade demands,non-antisemitic
�rightwing and farright movements and political parties across the world also idolise israel as they view the zionist colonial project as a successful model of european domination over the indigenous populations of developing countries� httpstcomeraamjhu,antisemitic
rt qissrkid go to israel pls  we dont need you,antisemitic
�and jabez called on the god of israel saying �oh that you would bless me indeed and enlarge my territory that your hand would be with me and that you would keep me from evil that i may not cause pain� so god� httpstcoxzgvqxwt,non-antisemitic
israel breaking netanyahu people of israel are ordered to stay at home for  days it is now a command police will enforce it,non-antisemitic
ever since trump took office in  israel has built more illegal settlements on palestinian land and displaced more families than in previous years now israel plans to begin annexing entire swathes of land in the west bank  httpstcomwdgxflu httpstcoxtivsff,non-antisemitic
"a big discussion on whether to ask the communitys deputies what they think about israel
israelsurvey
marievanderzyl is against the survey but said the boardofdeputies is democratic
labourleadershipelection 
the boardofdeputies is divided on the question of israel",non-antisemitic
"there are more arabs in israel�
�than there are jews in europe

there are more jews in borehamwood synagogue�
�than there are jews in the arab world

think about that",non-antisemitic
rt beholdisrael  years record of rainfalls in israel within the last two weeks the level of the sea of galilee is rising very fast,non-antisemitic
today is the th palestinelandday � the day we remember the palestinian lives israel shot amp killed from the galilee to the negev httpstcotbmjb,non-antisemitic
rt mondoweiss rt aliabunimah the operative who admits that the israel lobby �slaughtered� jeremycorbyn is so embarrassed by this confession video that he is trying to remove copies from the internet including the one published by intifada watch i� httpstcogbczdwk,non-antisemitic
the threat of democratic fatigue in israel is real � around its election and its choices around the us � httpstcookxawwgh,non-antisemitic
"thank you my dear friend narendramodi prime minister of india for sending chloroquine to israel

all the citizens of israel thank you  httpstcohdaskyzck",non-antisemitic
they dumped him like trash palestinian with suspected coronavirus symptoms thrown out of israel httpstcoyxdbepcxo,non-antisemitic
rt reuters netanyahu in apparent stumble calls israel nuclear power httpstcokzszctmjd httpstcooqpwfozlp,non-antisemitic
" example in  assassins kill an iranian nuclear chemist likely directed by israel iran promises revenge 

where does the ultimate revenge take place 

a month later in georgia india and thailand where israeli diplomats are targeted with bombs

httpstcoqeljkzqhd httpstcoqekqpddg",non-antisemitic
"if they wanna intercept mortar shells iron dome is a great option but it needs a handshake with israel 

sorry raytheon",non-antisemitic
rt timesofisrael coronavirus cases in israel rise to   patients in serious condition httpstcozlbljbwlrs,non-antisemitic
mylastrollo maybe one day israel might liberate the palestinians,non-antisemitic
israel is under attack join the fight to protect israel from the boycott divestment and sanctions bds campaign httpstcognyzomccpk,non-antisemitic
rt americatimfaze israel amp usa wins as bb netanyahu wins reelection  httpstcoxzylvfse via americatimfaze,non-antisemitic
prime minister benjamin netanyahu and the people of israel pray for the speedy and full recovery of our friend british prime minister borisjohnson  httpstcognopeulr,non-antisemitic
"congratulations israel on netanyahu amp gantzbe forming a new government 

keen to continue the important cooperation and build on our relationship

looking forward to further  and  successes as we enter the th year of diplomatic relations",non-antisemitic
"looming confrontation what lies ahead for israel and middle east in 

httpstcospyqnpghnz",non-antisemitic
europe kowtows to israeli apartheid  via newsfusionapps israel news httpstcojrhlwpiuj,antisemitic
"trump banned muslim and african immigrants
trump sanctified israel war crimes in palestine
trump withdrew us from paris climate accord
trump gave record tax cut to the rich
trump cut welfare programs
trump lauded nazis as fine people

none of these things biden did as vp",non-antisemitic
mangaluru �to fight terrorism india should ally with israel china� subramanian httpstcoeuviutp,non-antisemitic
rt standwithus breaking red alert sirens in southern israel details to follow httpstcorbqsnlp,non-antisemitic
vviewssonicmair i think its because israel has something on them i could be wrong though ,antisemitic
"dr israel who died had his results delayed while bongbong marcos who just arrived from spain amd entire staff have had their results immediately wow

if youre not outraged by this youre part of the problem httpstcodmzdoiapq",non-antisemitic
rt samwhuut wtf even you dont like israel you cant do this it is do disrespectful please dont disrecpect your shoes,non-antisemitic
israel does not control congress it merely controls  of the  senators amp randpaul was almost killed thats why it must still conduct surveillance amp covert lobbying in the us we send them  billyr for critical defense needs lobbyingspying here in us foreignagents,antisemitic
"indonesia devastating floods  people have died more than  displaced

in the past israel offered humanitarian aid to indonesia  but it was rejected due to antiisrael hate 

i pray for indonesia from israel  httpstcoiuwxup",non-antisemitic
"here�s why trump�s admin entertains the thought of war w iran  i�d like to add one more
it makes israel russia amp saudi arabia very happy but for different reasons for russiasaudis it jacks up the price of oil their largest industryampthe israelis nemesis has always been iran httpstcohfvptbxpy",non-antisemitic
"rt sebgorka so ilhanmn hates israel and defends iran 

   now do you understand",non-antisemitic
idf soldiers across israel took a break from their exercises�to exercise their right to vote israelex  httpstcokghutsjfn,non-antisemitic
" years ago israel and egypt signed a peace treaty 

israel is a country that seeks peace with its neighbours 

it�s time for peace in the middle east wars belong in the past httpstcoenrsrlkt",non-antisemitic
reddogt i think israel is blowing the palestinians away with their illegal occupation,non-antisemitic
soon in israel due to coronavirus michaelsanewman thegote gianlui lackboys roni juliet ibutterfly james_anderssen jd_usa lizbeth_hineni miri theantiantizio peterproud irishchutzpah pammyreign keepsmile americanzionism httpstcoonddtradk,non-antisemitic
bernie sanders boycotts proisrael americans httpstcokqiohmzh via yahoo,non-antisemitic
all hell is breaking loose in the middle east and i�m sitting here in israel like httpstcozrtcivgn,non-antisemitic
"realdonaldtrump 

you know us israel relation is not getting to its high potential you probably know who can help americans should be liking to have their ally standing in middle east but it wont happen as well as we need wo your helping the first hit was iron dome",non-antisemitic
rt stanm they come to germany as refugees and scream for israel to leave httpstcopjshftfu,non-antisemitic
ajenglish ok its ok no problem but where are those liberal champs who say israel is only democracy this man is talking about control because kings ruled here isnt that a  years old phenomenon how will you rationalize it in present context,non-antisemitic
"jewish bernie sanders is not afraid to speak out against israel
httpstcoobqbbfrfi
we need more politicians who do not keep quiet about the appalling behaviour of governments 
worldnews
america 
labourleadership",non-antisemitic
breaking israeli prime minister netanyahu told security cabinet that israel wasnt involved in the killing of soleimani and stressed it is a us event and we should stay out of it according to  cabinet ministers who attended the meeting barakravid,non-antisemitic
bdssupporters pervasive antisemitic rhetoric among boycott supporters that too often equates all things israel and jewish with the oppression of palestinian rights jstreetdotorg,non-antisemitic
"alison weir despite coronaviruscaused cutbacks israel expects to get full  billion
while thousands of americans out of work amp tens of millions impacted by coronavirus cutbacks experts expect israel will get its full massive aid package
abc
read httpstcourbgfnogw httpstcozckwevc",antisemitic
israel shot  yearold malek issa between the eyes after he bought a sandwich from a shop it was no accident its what israeli soldiers do httpstcobpfecib,non-antisemitic
rt criostoirreturn coronavirus in israel httpstcoyfebxivf httpstcoxzymbjieim,non-antisemitic
lsarsour america and israel will remain strong,non-antisemitic
"caroleannesr acosta us alerted israel nato to disease outbreak in china in november � tv report whitehouse 

httpstcoelferxt",non-antisemitic
realdonaldtrump stop lying  in november  you sent an urgent national security notice to israel  not to the american people  that there was a coronavirus outbreak in china httpstcoooedmw,non-antisemitic
the land of israel httpstcodzalbovwh,non-antisemitic
"rt phatill israel adesanyas uncensored speech after been named new zealand sportsman of the year



httpstcourvyavkq",non-antisemitic
"i fed his leg up  i did what i had to do to win that fight

israel adesanya laid out the strategy that helped him win at ufc httpstcociizfirmw",non-antisemitic
how you know we are messed up in africa egypt have memorials of enslaving the children of israel german have loads of nd world war memorials mushroom cloud is a reminder of hiroshima please where is the memorial of what our forefathers did that cannot be forgiven self what,non-antisemitic
israel must lift the blockade nearly  million palestinians have just  ventilators  test kits amp insufficient medicines to survive covid httpstcoawzovdci,non-antisemitic
israels gunmen turned  gazans into amputees amp paralysed  in just yrs when specialist treatment was needed israel forbid that too httpstcoqziohehlpg,non-antisemitic
israel more like isfake,antisemitic
israel won�t let me in to palestine to see my family but random western christians who have no connection to the land have a �birthright� lmao ok,non-antisemitic
"rashida tlaib pushing linda sarsours antiamerican jihadi filth while sporting a tshirt showing a total takeover of israel by palestinians
no its not antisemitic just art from her grandmother in palestine httpstcowuueaptmkj",non-antisemitic
"a palestinianborn antiisrael activist amp nyu prof amin husain recently deleted most of his social media posts  seems he doesnt want to be held responsible for the thuggery he encourages
httpstcokpvubsp",non-antisemitic
"�it is difficult to understand how in  israel can make the case for a system of governance that just a few decades ago was globally repudiated when it existed in south africa�

httpstcouaaeuqwfs",antisemitic
so much for the big israel apartheid lie,non-antisemitic
realdonaldtrump no they�re losing jobs because you unleashed a deadly pandemic on america one the us warned israel about in november and you were calling a hoex in march you lying racist grim reaping son of a klansman,non-antisemitic
rt simonmaginn israel set to be investigated for war crimes in palestinian territories icc announces httpstcombztcuh,non-antisemitic
israel is shutting down covid clinics in palestine and they arrested the staff palestinians don�t even have the right to get tested for corona during a pandemic i�m so tired of seeing my peoples basic human rights constantly being violated,non-antisemitic
check out israel  congress tel aviv histadrut israel  bronze medal  gr httpstcocpyuvuks ebay,non-antisemitic
ken loach is right people are accused of antisemitism for criticising israel however as with jeremy corbyn  this only happens though in support of palestine httpstcowrxpvyjexu,non-antisemitic
israel is in big trouble their prosperity is blinding them from their true condition they blame the government for the troubles in their own hearts and they are trying to outdo each other in calf worship how will god respond ttb biblebus god httpstcoygffmlhak,antisemitic
anyone entering israel will have to be quarantined for at least  weeks netanyahu says effectively stopping tourism the measure will be in effect for at least  weeks httpstcolfyrorlyi,non-antisemitic
"he concluded with a request that the uk thinks carefully in the future before voting against israel at the un

israel is being singled out amp to borrow a phrase with nauseating frequency amp we are joining in  the singling out of the jewish state is wrong and unjustified

 httpstcoxtxfqooa",non-antisemitic
rt spectatorindex breaking israel will permit its citizens to travel to saudi arabia for both religious and business purposes,non-antisemitic
israel security forces take away  tractors in the occupied west bank httpstcovwtlahvt,non-antisemitic
"ephraimodhiamb thesixthsealofgod the ox knows its master the donkey its owner�s manger but israel does not know my people do not understand�
isaiah  niv",non-antisemitic
"i call on israel and the world on palestinelandday and every day to end the blockade of gaza
greatreturnmarch   
returninourlifetime httpstconkwyieag",non-antisemitic
"david friedman and his wife tammy donate  to leket israel israels largest food aid organization 
thank you usambisrael your generousity is boundless 
httpstcomwqbsnpfkh",non-antisemitic
us gov gives m masks to israel during shortage coronavirus censorship amp trump �holds� who funding httpstcofjkittc httpstcofyaqjg,non-antisemitic
rt haaretzcom netanyahu accidentally calls israel a nuclear power httpstcoyvsbdvcie,non-antisemitic
imshin they look not bad despite the genocide that israel is committing they eat well get married kiss shoot and cry httpstcoxdmzvua,non-antisemitic
originalcc uh i mean you got israel kuwait uae saudi arabia do i need to continue,non-antisemitic
benshapiro im curious what you think of how israel treats palestinians for example cutting off electricity or water also dumping trash on them from higher apartments ps i love your work and enjoy watching you debate,non-antisemitic
"_what israel gains_

_settlers will no longer be subject to military management_
_settlement limitations will be removed in the future_
_israel will control  of the west bank_

_what the us will give israel_

_consent for israel�s control over settlements_",non-antisemitic
rt jordansekulow radio israel makes potential breakthrough in race for coronavirus vaccine httpstcoewdlphac,non-antisemitic
"iran today

 fired missiles at us base in iraq

 threatened to strike locations in israel and the uae

 qassem soleimani buried

 ukrainian boeing  with  passengers crashes near tehran

  magnitude earthquake in countrys southwestern region",non-antisemitic
   maga the limit of israel by and large might have been due to a bad a e s t h e t i c rawr xd fake             ,non-antisemitic
"poland�s president andrzej duda won�t attend a commemoration in israel to mark the th anniversary of the liberation of the auschwitz nazi death camp which was located in poland because he was not asked to speak at the forum
httpstcofkwpxkhs",non-antisemitic
wishing a happy passover to those celebrating in the united states israel and around the world httpstcoodndyvh,non-antisemitic
israel is an illegally established apartheid state for the past  years they have killed tens of thousands of palestinians confiscated palestinian land and built a wall to keep palestinians trapped with no access to the sea or border,antisemitic
rt heytammybruce antisemites �celebrate� as israel announces first coronavirus death httpstcommqrudjjk via nyjooo,non-antisemitic
"we condemn the racist apartheid state of israel for continuing with its relentless war against the people of palestine we demand an end to sanctions in gaza
endsanctionssavelives
antiimperial_ 
tri_continental 
saftu_media bdsmovement pscabi_gaza iaw_africa httpstcoumpvvrxkvu",antisemitic
"vital how israel is flooding europe with muslims video 
httpstcotgeorprgy 
  veterans today | military foreign affairs policy journal for clandestine services httpstcogjcmfwwyf",antisemitic
citizens of israel our accomplishments measure up to every global standard all the more so since we live in a very small and crowded country therefore your achievement here is very important,non-antisemitic
idf believes a mortar was shot into israel and landed in an open space a short time ago,non-antisemitic
ericleiderman mdais israel is in europe,non-antisemitic
"this israeli girl said

they have a university in gaza theyre not opressed

where is the correlation

israel doesnt allow gaza to export gas or anything out of gaza they live in an open air prison httpstcosyhiyuxl",non-antisemitic
proustmalone stanleycohenlaw so has israel discovered a vaccine the problem is we do not ok vaccines unless they are tested ie  months,non-antisemitic
trainersandtea pip_davies israel at home weren�t it,non-antisemitic
"rt haiderrr no doubt israel is a terrorist state

israel httpstcokxmjayf",antisemitic
"breaking ilhan �israel hypnotizes the world� omar admits that when she seeks sanctions against israel it�s really �economic warfare�

ilhan your antisemitism is showing",non-antisemitic
"why are turkey greece israel egypt libya and other neighbouring countries fighting over maps and maritime boundaries because of the worlds largest untapped source of natural gas sitting under the mediterranean sea 
httpstcoerggani",non-antisemitic
rt jiwas i will attempt to ratio the state of israel with brawl koopa hopping httpstcoqtuzsqjqjw,non-antisemitic
"trump plan 

� conditional state for palestinians
� jerusalem undivided capital for israel but palestinians capital somewhere in e j
� conceptual map 
� only netanyahu on podium
� no saudi or jordan or palestinian or egypt representation in room  httpstcopdgpaznla",non-antisemitic
"coronavirus wrap europe cases breach   israel health minister contracts covid and philippines ambassador to lebanon dies | coronaviruspandemic

httpstcookkreywvw httpstcovizjzihed",non-antisemitic
"if israel is a jewish country and has a right to be jewish if ghana is a black country and has a right to be black then why dont we have the right to keep a white country white

 united states navy commander and world war two veteran george lincoln rockwell httpstcodwnanfp",non-antisemitic
" chronicles 
�and jabez called on the god of israel saying �oh that you would bless me indeed and enlarge my territory that your hand would be with me and that you would keep me from evil that i may not cause pain� so god granted him what he requested�

i asked",non-antisemitic
lool the only higher power that has a covenant with israel is britain and american considering they the god ma of the planet as we have it today yeah god got a covenant with israel,non-antisemitic
shirasilkoff jasminelev samslamdunkiam some view israel as a way of dumping off their jewish populations jews cant live in new york if they move to tel aviv others view israel as a western bulwark pushing western culture on middle east mohammadean savages,non-antisemitic
unbelievable at tower hamlets once again antiisrael corbynites are attacking the definition of antisemitism they just want the right to hate jews and are unhappy the council disagree with them expect trouble this evening httpstcosdfxfjb,non-antisemitic
rt jsolomonreports france spain and israel take more drastic actions to slow virus outbreak httpstcorfuzdbpuf,non-antisemitic
israel remains everything that south africa aspired to become but with a greater and more accomplished thirst for genocide,antisemitic
"if iran ever got to possess let alone detonate a nuclear weapon israel would obliterate mulitple iranian military targets within hours 
 
israel is reckoned to have between  and  nuclear devices available 
 
",non-antisemitic
rt rf uh oh big story on proisrael money in politics i guess everyone who talks about it is now antisemitic like ilhanmn,non-antisemitic
rt swamy i learn from media that there have been no deaths due to covid in israel if so some will take it as a jewish conspiracy,non-antisemitic
rt timesofisrael bank of israel to buy nis  billion in bonds to steady sinking economy httpstcojxirrv,non-antisemitic
"israel researchers launch clinical trials to test cbd as covid treatment supplement 

httpstcorgnuloqvj mme marijuana cannabis cbd israel covid_ httpstcocxtrjepgm",non-antisemitic
flashback israel wanted to kill alquds leader soleimani but obama tipped off iran httpstcottwdnizd via gatewaypundit,non-antisemitic
ployalties israel is a blatant apartheid state committing genocide on live stream video while influencing the world with extreme wealth and perversely nefarious activities to repress any protest against them,antisemitic
israel is shutting down covid clinics in palestine and they arrested the staff palestinians don�t even have the right to get tested for corona during a pandemic i�m so tired of seeing my peoples basic human rights constantly being violated,non-antisemitic
rt spectatorindex just in israel reports first coronavirus death,non-antisemitic
maanlichtt oulosp i repeat greece did not sign any deal with any of those countries egypt and israel included if this is what you have been told then chose your sources more carefully,non-antisemitic
president realdonaldtrump promised he would move the us embassy in israel to jerusalem and he kept that promise thank you prime minister netanyahu for meeting at our new usembassyjlm httpstcoaqejbqjl,non-antisemitic
rt youversion hear o israel the lord our god the lord is one httpstcowpxfqggzqx,non-antisemitic
"bds founder it is ok to not boycott israel if they develop a ncov vaccine  it appears israel is on track to start vaccinating its population june  

i really think the bds people should boycott the vaccine
this is total hypocrisy httpstcoeerazzjzq",non-antisemitic
trump democrats in congress are antisemitic� �totally against israel� httpstcoiocnaxu via breitbartnews,non-antisemitic
irshada tarekfatah narendramodi pmoindia we should prepare like israel and china,non-antisemitic
"spot the difference

benjamin netanyahu enforces a day quarantine for all new arrivals to israel leftists shout �racist�

jacinda ardern announces the exact same thing for new zealand leftists praise her as a �hero�

excuse my confusion",non-antisemitic
labour�s keir_starmer will soon learn lesson jeremycorbyn didnt heed no amount of capitulation to israel lobby can ever be enough these enemies of basic human rights and dignity for palestinians take every concession as an invitation to demand more httpstcouwiqygpepx,non-antisemitic
since its birth israel has worked to drive the palestinian people out of their homes and off their lands � it has never yearned for peace httpstcozmrvkqhihn,antisemitic
excellent anticoronavirus ad from israel very little hebrew at end but understandable by nonhebrew speakers scary but this is a time when we should have some healthy fear hope everyone stays safe please share httpstcoxuvkxbc,non-antisemitic
mbueckert well investigating israel hits a little too close to home it might draw comparisons to canada�s treatment of indigenous people�s and we can�t have that,non-antisemitic
rt realmattcouch netanyahu and rival gantz sign unity government deal in israel httpstcokeclyqjfo,non-antisemitic
when the us alerted israel and nato about the coronavirus in november  why did trump not tell us so we could prepare  why did he not tell the governors so they could prepare,non-antisemitic
"indemtel netanyahu israel israelmfa mohfw_india indiandiplomacy israelmoh india and israel are best friends forever 
  love  amp love india",non-antisemitic
"michael rubin of labour friends of israel

�the [israel] embassy helps us quite a lot when bad news stories come out about israel the embassy sends us information so we can counter it� it�s really helpful we work very closely together but a lot of it is behind the scenes�",non-antisemitic
my bro is missing his name is israel oghagha ukpedorhe just graduated from the university of benin from the department of social workhe has been missing since sunday evening on his way to his house at sapele roadpls if found or seen anywhere please call  httpstcorxfeaopsjl,non-antisemitic
breaking avigdor liebermans israel beyteinu will support a law limiting a prime minister to  terms and also support a law forbiding an indicted knesset from being tasked with forming a government httpstcohrieqhhe,non-antisemitic
israel folau shock and outrage greets catalans dragons signing httpstconjgxbpflov,non-antisemitic
rt degeneratething at only  years old bernard sanders founded the state of israel httpstcocneumf,non-antisemitic
reminder israel deliberately targeted amp bombed  mosques in gaza in   were completely obliterated amp  were partially destroyed httpstcowswhugao,non-antisemitic
"since the beginning of  israel arrested  palestinians the arrests include  children under the age of  the youngest of them is  years old

httpstcofgkdzgtvgq",non-antisemitic
its impossible to prevent the virus from making it to israel but we�re trying to delay it as much as possible� httpstcodlddnkufb,non-antisemitic
httpstcobnwyzdtkr  no israel involv no one care of humanrightsviolations,non-antisemitic
no_silenced israel,non-antisemitic
" russian air force heavy lifters lined up in israel ahead of putins visit

transport for his armoured limos amp security",non-antisemitic
jews in america are less concerned by our embassy in israel than in bernie sanders� amplification of antisemites who call for the destruction of israel unfortunate framing of the question cbs scdebate,non-antisemitic
dankurtzer is former us ambassador to both egypt and israel and a veteran of and deep thinker on the peace process and i can personally attest an excellent professor in case there was any doubt about his grading httpstcostgrpuil,non-antisemitic
"coronavirus updates
 germany  new cases  so far today  total
 israel  new cases today  total
 iceland  new case  new cases so far today  total httpstcoeuoebhl",non-antisemitic
"israel alright heres our peace offer were going to keep absolutely everything but in return were prepared to offer you  soggy socks

palestinians uh

israel one of them has a mustard stain on it

palestinians that sounds horrible

nyt tomorrow httpstcodeipapnkg",non-antisemitic
israel cannot escape all of international law all of the time httpstcomkntmis,non-antisemitic
rt gabyverdier i was meant to talk about palestinian kids at the un israel forced me out httpstcojbmfgeavgx,non-antisemitic
"abdullahadam the quran elaborates on a biblical verse the bible mentions the god of israel shall break in pieces the gates of brass copper amp zinc and cut in sunder the bars of iron dhul qarnayn uses these materials to construct the barrier in the quran
part 
httpstconzgbatusc httpstcowollra",non-antisemitic
lxcamaesenpai moses and aaron were levites one of the twelve tribes of israel named after jacobs sons and grandsons levis bloodline or tribe was also called the bloodline of the priests in ancient times,non-antisemitic
and so it begins as israel fires tear gas grenades attacks amp injures young palestinian students chanting nototrumpplan freepalestine httpstcoivaruqamnu,non-antisemitic
"jackposobiec trump is compromised by china russia saudi arabia turkey israel etc big oil coal co cruise companies anyone that will give him money etc etc 
so whats your point",non-antisemitic
"israel iraq and iran report new cases of coronavirus 

pakistan still hasnt cut flight operations from iran despite a massive surge in corona virus patient in iran which cant be treated as isolated 

is pakistan doomed",non-antisemitic
must watch  sen tom cotton rark called out antisemitism and the antiisrael bds movement in a speech on the senate floor on wednesday thank you tomcottonar for standing up against hatred and bigotry httpstcoriiqaditx,non-antisemitic
horrific scenes of panic as israel forces its way into alaqsa mosque opens fire on palestinians praying with rubber bullets shoots  ppl httpstcofpaxtgtr,non-antisemitic
coronavirus cases rise to  in greece after group trip to israel egypt httpstcolskmvqrk,non-antisemitic
"jlm and the lfi are weaponising antisemitism within uklabour its clear they want speaking out against israel banned 
i for one shall not be told that we cant speak up for the people of palestine and criticise israel i would rather leave the party",non-antisemitic
legal rights groups demand israel stops its aerial spraying amp poisoning of gaza crops while palestinians fight to keep a pandemic at bay bds httpstcovsinaaoqo,antisemitic
"if jewish bolshevik power never left russia but remained and as one of its objectives created and groomed israel as a soviet satellite is it reasonable to assume that the infamous elders of zion�the kahal� are based in moscow and not tel aviv

httpstcobcfowfs",antisemitic
